ID,Age,years_lessons,years_since,Wind,Piano,Strings,Percussion,Vocals
6,18,2,5,no,no,no,yes,no
7,19,6,5,yes,yes,no,no,yes
9,18,3,5,yes,no,yes,no,no
10,18,4,4,yes,no,no,no,no
11,18,3,8,no,no,yes,no,no
14,18,1,6,yes,no,no,no,no
15,18,8,5,no,yes,no,no,no
16,18,6,3,yes,no,no,no,no
17,18,2,2,yes,no,no,no,no
18,17,11,1,no,yes,no,no,no
19,18,2,8,no,yes,no,no,no
21,17,15,0,yes,no,no,yes,yes
22,18,12,0,no,yes,yes,no,no
23,18,2,4,no,yes,yes,no,no
24,18,8,3,yes,yes,no,no,no
25,18,9,0,no,yes,yes,no,no
26,18,11,0,yes,yes,no,yes,no
27,18,13,3,yes,yes,no,no,no
28,18,5,3,yes,no,no,no,no
30,18,12,1,yes,yes,yes,no,yes
31,20,10,5,no,yes,yes,no,no
32,20,1,10,no,yes,no,no,no
33,18,6,4,yes,no,no,no,no
34,18,13,0,yes,yes,yes,no,no
35,21,2,7,no,no,yes,no,no
36,17,6,4,yes,yes,no,no,no
37,19,5,3,yes,yes,no,no,no
38,22,13,4,yes,yes,no,no,no
39,18,8,6,no,yes,no,no,no
41,18,7,2,no,yes,no,yes,no
42,21,1,7,yes,no,no,no,no
43,18,1,10,yes,no,no,no,no
44,19,15,1,no,yes,no,no,yes
45,18,13,1,no,yes,no,no,no
46,19,4,6,yes,yes,no,no,no
49,19,10,1,yes,yes,no,no,no
51,24,7,10,no,yes,no,no,no
52,19,6,10,no,yes,no,no,no
56,19,7,6,yes,yes,no,no,yes
57,19,3,11,no,yes,no,no,no
58,19,3,6,yes,no,no,no,no
59,18,13,0,yes,yes,no,no,no
60,18,10,3,yes,yes,yes,no,no
61,18,2,4,yes,yes,no,no,no
62,18,7,4,yes,yes,yes,no,no
63,18,3,3,yes,no,no,no,no
64,18,12,0,no,yes,yes,no,no
65,18,7,6,no,yes,yes,no,no
66,18,6,4,no,yes,no,no,no
67,17,6,4,yes,yes,no,no,no
68,18,3,4,yes,no,no,no,no
69,19,3,5,no,yes,no,no,no
71,17,2,10,yes,no,no,no,no
72,18,3,4,yes,no,yes,no,no
73,18,15,0,yes,yes,no,no,yes
74,18,12,0,yes,yes,no,no,no
75,18,11,0,yes,yes,no,no,no
76,18,2,11,no,yes,yes,no,no
77,18,12,0,yes,yes,no,no,no
78,17,9,4,yes,no,no,no,no
79,18,13,0,yes,no,no,no,no
82,19,4,5,no,yes,yes,no,no
83,20,11,3,yes,yes,yes,no,no
86,18,2,9,no,yes,no,no,no
87,18,1,12,no,yes,no,no,no
88,20,1,0,no,no,yes,no,no
89,18,6,3,yes,no,no,no,no
90,18,4,4,no,yes,yes,no,yes
91,19,2,4,no,no,yes,no,no
92,18,11,4,no,no,no,no,yes
93,18,3,6,no,yes,no,no,no
95,18,11,2,no,yes,yes,no,no
96,18,7,4,yes,no,no,no,no
97,18,6,1,yes,no,no,no,no
99,19,6,1,no,no,yes,no,yes
100,18,3,4,yes,no,no,no,no
101,17,4,1,no,yes,yes,no,no
102,18,10,4,no,yes,no,no,no
